cell,lat_center,lon_center,gcm,rcp,n_days
A,-3.825,-41.225,BESM,RCP4.5,34333
A,-3.825,-41.225,BESM,RCP8.5,34333
A,-3.825,-41.225,CANESM2,RCP4.5,34333
A,-3.825,-41.225,CANESM2,RCP8.5,34333
A,-3.825,-41.225,HADGEM2-ES,RCP4.5,33810
A,-3.825,-41.225,HADGEM2-ES,RCP8.5,33840
A,-3.825,-41.225,MIROC5,RCP4.5,34333
A,-3.825,-41.225,MIROC5,RCP8.5,34333
B,-3.825,-41.075,BESM,RCP4.5,34333
B,-3.825,-41.075,BESM,RCP8.5,34333
B,-3.825,-41.075,CANESM2,RCP4.5,34333
B,-3.825,-41.075,CANESM2,RCP8.5,34333
B,-3.825,-41.075,HADGEM2-ES,RCP4.5,33810
B,-3.825,-41.075,HADGEM2-ES,RCP8.5,33840
B,-3.825,-41.075,MIROC5,RCP4.5,34333
B,-3.825,-41.075,MIROC5,RCP8.5,34333
C,-6.075,-36.725,BESM,RCP4.5,34333
C,-6.075,-36.725,BESM,RCP8.5,34333
C,-6.075,-36.725,CANESM2,RCP4.5,34333
C,-6.075,-36.725,CANESM2,RCP8.5,34333
C,-6.075,-36.725,HADGEM2-ES,RCP4.5,33810
C,-6.075,-36.725,HADGEM2-ES,RCP8.5,33840
C,-6.075,-36.725,MIROC5,RCP4.5,34333
C,-6.075,-36.725,MIROC5,RCP8.5,34333
D,-6.075,-36.575,BESM,RCP4.5,34333
D,-6.075,-36.575,BESM,RCP8.5,34333
D,-6.075,-36.575,CANESM2,RCP4.5,34333
D,-6.075,-36.575,CANESM2,RCP8.5,34333
D,-6.075,-36.575,HADGEM2-ES,RCP4.5,33810
D,-6.075,-36.575,HADGEM2-ES,RCP8.5,33840
D,-6.075,-36.575,MIROC5,RCP4.5,34333
D,-6.075,-36.575,MIROC5,RCP8.5,34333
E,-6.075,-36.425,BESM,RCP4.5,34333
E,-6.075,-36.425,BESM,RCP8.5,34333
E,-6.075,-36.425,CANESM2,RCP4.5,34333
E,-6.075,-36.425,CANESM2,RCP8.5,34333
E,-6.075,-36.425,HADGEM2-ES,RCP4.5,33810
E,-6.075,-36.425,HADGEM2-ES,RCP8.5,33840
E,-6.075,-36.425,MIROC5,RCP4.5,34333
E,-6.075,-36.425,MIROC5,RCP8.5,34333
F,-5.475,-35.975,BESM,RCP4.5,34333
F,-5.475,-35.975,BESM,RCP8.5,34333
F,-5.475,-35.975,CANESM2,RCP4.5,34333
F,-5.475,-35.975,CANESM2,RCP8.5,34333
F,-5.475,-35.975,HADGEM2-ES,RCP4.5,33810
F,-5.475,-35.975,HADGEM2-ES,RCP8.5,33840
F,-5.475,-35.975,MIROC5,RCP4.5,34333
F,-5.475,-35.975,MIROC5,RCP8.5,34333
